REGION_NAME,STATE/REGION,NAICS,NAICS_LDESC,LEVEL,YEAR,GDP,EST_POP
Arkansas,AR,482,Rail transportation,3,2010,531299999.99999994,2921998
Arkansas,AR,483,Water transportation,3,2010,18100000.0,2921998
Arkansas,AR,484,Truck transportation,3,2010,2325700000.0,2921998
Arkansas,AR,485,Transit and ground passenger transportation,3,2010,44700000.0,2921998
Arkansas,AR,486,Pipeline transportation,3,2010,65500000.0,2921998
Arkansas,AR,"487-488,492",Other transportation and support activities,3,2010,529299999.99999994,2921998
Arkansas,AR,493,Warehousing and storage,3,2010,409200000.0,2921998
Arkansas,AR,51,Information,2,2010,2906300000.0,2921998
Arkansas,AR,511,Publishing industries (except Internet),3,2010,556600000.0,2921998
Arkansas,AR,512,Motion picture and sound recording industries,3,2010,96800000.0,2921998
Arkansas,AR,515-517,Broadcasting (except Internet) and telecommunications,3,2010,2004500000.0,2921998
Arkansas,AR,518-519,"Data processing, hosting, and other information services",3,2010,248400000.0,2921998
Arkansas,AR,"52,53","Finance, insurance, real estate, rental, and leasing",0,2010,14801600000.0,2921998
Arkansas,AR,52,Finance and insurance,2,2010,3737200000.0,2921998
Arkansas,AR,521-522,"Monetary Authorities- central bank, credit intermediation, and related services",3,2010,1678300000.0,2921998
Arkansas,AR,523,"Securities, commodity contracts, and other financial investments and related activities",3,2010,425600000.0,2921998
Arkansas,AR,524,Insurance carriers and related activities,3,2010,1543200000.0,2921998
Arkansas,AR,525,"Funds, trusts, and other financial vehicles",3,2010,90100000.0,2921998
Arkansas,AR,53,Real estate and rental and leasing,2,2010,11064500000.0,2921998
Arkansas,AR,531,Real estate,3,2010,10067300000.0,2921998
Arkansas,AR,532-533,Rental and leasing services and lessors of nonfinancial intangible assets,3,2010,997200000.0,2921998
Arkansas,AR,"54,55,56",Professional and business services,0,2010,9342500000.0,2921998
Arkansas,AR,54,"Professional, scientific, and technical services",2,2010,3565800000.0,2921998
Arkansas,AR,5411,Legal services,4,2010,669200000.0,2921998
Arkansas,AR,5415,Computer systems design and related services,4,2010,793100000.0,2921998
Arkansas,AR,"5412-5414,5416-5419","Miscellaneous professional, scientific, and technical services",4,2010,2103500000.0,2921998
Arkansas,AR,55,Management of companies and enterprises,2,2010,3272500000.0,2921998
Arkansas,AR,56,Administrative and support and waste management and remediation services,2,2010,2504200000.0,2921998
Arkansas,AR,561,Administrative and support services,3,2010,2193200000.0,2921998
Arkansas,AR,562,Waste management and remediation services,3,2010,310900000.0,2921998
Arkansas,AR,"61,62","Educational services, health care, and social assistance",0,2010,8902200000.0,2921998
Arkansas,AR,61,Educational services,2,2010,667900000.0,2921998
Arkansas,AR,62,Health care and social assistance,2,2010,8234299999.999999,2921998
Arkansas,AR,621,Ambulatory health care services,3,2010,3796700000.0,2921998
Arkansas,AR,622,Hospitals,3,2010,2525900000.0,2921998
Arkansas,AR,623,Nursing and residential care facilities,3,2010,968700000.0,2921998
Arkansas,AR,624,Social assistance,3,2010,943100000.0,2921998
